A–o,P enero,P febrero,P marzo,P abril,P mayo,P junio,P julio,p agosto,P sep,P oct,P nov,P dic
1960,12,2,10,14,78,152,228,187,213,135,3,9
1961,10,3,15,13,27,399,252,196,141,45,23,11
1962,1,5,9,69,39,197,123,97,193,134,14,10
1963,2,4,36,36,92,239,226,268,199,68,13,18
1964,18,2,19,21,199,179,191,175,248,41,29,18
1965,10,24,10,29,97,205,139,200,190,127,13,15
1966,7,13,44,87,55,181,214,199,107,93,2,11
1967,41,7,20,35,85,103,197,281,331,92,11,13
1968,9,32,3,109,88,201,225,111,217,77,5,32
1969,20,14,28,20,16,139,166,411,113,57,6,2
1970,6,15,6,18,57,324,202,178,165,59,7,3
1971,7,2,20,23,69,333,172,202,374,181,14,17
1972,4,4,22,53,110,297,158,155,169,108,30,8
1973,2,5,9,80,89,339,275,244,272,138,23,10
1974,5,8,32,70,91,229,277,233,379,88,3,3
1975,27,13,12,25,158,283,253,177,191,85,3,2
1976,4,14,24,77,82,139,399,169,262,152,20,17
1977,5,13,5,15,81,258,148,84,210,96,19,9
1978,4,15,51,25,46,304,131,142,144,110,19,14
1979,1,27,19,36,73,156,229,328,212,44,11,21
1980,32,9,13,32,94,114,102,210,254,80,33,4
1981,15,24,35,59,90,284,213,231,157,135,12,8
1982,3,24,32,57,129,194,190,133,108,115,4,7
1983,13,25,18,1,49,160,168,215,264,67,27,6
1984,18,19,12,7,98,247,331,197,205,90,8,13
1985,7,9,19,102,106,292,233,171,208,80,13,6
1986,3,4,2,82,127,331,140,183,102,131,19,5
1987,2,7,14,43,64,275,200,196,231,10,10,2
1988,3,14,35,24,63,230,222,221,217,43,13,7
1989,4,7,16,34,77,249,177,244,254,81,12,21
1990,9,28,19,42,100,147,286,218,273,166,6,10
1991,10,11,6,34,78,289,292,142,255,162,29,16
1992,45,34,30,39,151,192,202,214,225,154,57,8
1993,13,22,18,44,41,166,141,150,260,42,19,4
1994,9,7,11,42,64,281,170,236,143,110,6,11
1995,21,14,28,24,129,223,210,390,161,111,45,34
1996,2,7,18,32,46,260,160,243,295,139,11,33
1997,8,10,49,119,137,163,190,150,278,113,20,23
1998,11,3,4,6,0,213,184,280,539,176,20,6
1999,4,6,30,32,39,131,271,210,161,48,7,7
2000,1,3,8,20,64,259,84,197,108,59,19,5
2001,5,14,12,29,123,153,95,106,176,42,4,9
2002,12,9,18,28,72,136,85,102,102,36,20,11
2003,5,4,15,41,73,140,131,97,103,46,33,3
2004,13,1,21,15,76,182,150,199,154,101,4,3
2005,1,5,11,36,39,53,192,106,59,59,5,4
2006,2,2,14,27,107,63,133,134,162,62,28,3
2007,5,29,7,55,110,105,152,196,168,55,8,5
2008,4,3,10,54,54,158,132,134,77,35,3,2
2009,5,5,13,8,69,97,83,91,216,52,4,6
2010,23,44,2,5,47,105,174,142,87,11,6,1
2011,1,2,4,33,28,71,148,120,71,46,12,3
2012,6,40,29,33,42,185,173,161,88,39,9,2
2013,2,5,4,14,79,112,108,106,156,71,26,5
2014,1,2,14,34,87,168,148,115,121,108,7,12
2015,4,3,42,27,152,77,100,63,147,16,14,2
2016,2,3,29,30,67,156,104,128,85,45,28,6
2017,0,1,35,42,91,96,130,142,110,31,4,1
